cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,avg_life_Q1,avg_life_Q2,avg_life_Q3,avg_life_Q4,avg_life_M,avg_life_F,avg_life_all
31402,Pecos,31286,48,Texas,TX,81.700874,79.02034,82.485023,80.795692,86.478104,85.616943,88.719131,88.4104,74.995918,72.212013,80.586952,78.693077,80.622307,79.606537,82.775223,82.31736,76.98228625,80.640186,83.08097275,85.5555285,78.97617338,84.15331338,81.56474338
31503,Laredo,210580,48,Texas,TX,86.124855,82.26313,86.981537,83.54245,83.611069,79.806999,85.359917,82.146355,80.095482,75.861099,81.62178,77.864235,82.689285,79.056252,84.282806,81.10437,81.0861415,82.5025005,81.29090125,83.223362,80.32191363,83.729539,82.02572631
31600,Brownsville,978369,48,Texas,TX,86.004501,82.679535,85.848061,83.155655,86.077736,83.95945,87.682671,86.317444,81.092041,77.471703,82.425148,79.693115,83.253342,81.19976,84.689659,83.356979,81.811945,82.78049475,83.622572,85.51168825,81.64771838,85.21563163,83.431675
31700,Corpus Christi,503493,48,Texas,TX,82.582413,79.889519,83.843384,81.87204,85.625031,84.337753,86.787254,85.965843,76.254875,73.648102,79.920967,78.077438,81.740883,80.524902,84.951706,84.265411,78.09372725,80.92845725,83.05714225,85.4925535,79.9230355,83.86290463,81.89297006
31800,College Station,208437,48,Texas,TX,81.067291,81.427811,84.585793,84.474861,84.570946,84.465553,87.891197,88.107651,76.286346,76.569809,79.842621,79.774353,81.475479,81.382683,85.25386,85.481476,78.83781425,82.169407,82.97366525,86.683546,80.75832838,84.57388788,82.66610813
31900,Pearland,320912,48,Texas,TX,80.848068,80.250175,83.205238,82.881432,84.221977,84.075394,87.04982,86.914757,75.709694,75.228615,79.383698,79.106491,81.514877,81.424667,84.034714,84.030067,78.009138,81.14421475,82.80922875,85.5073395,80.05410288,83.68085763,81.86748025
32000,Houston,4504013,48,Texas,TX,82.214424,81.799324,83.720444,83.135155,85.155083,84.642311,87.583542,87.270615,77.143471,76.694794,79.525047,78.9916,81.687653,81.289345,85.084869,84.912468,79.46300325,81.3430615,83.193598,86.2128735,80.66615588,84.44011225,82.55313406
32100,Beaumont,497770,48,Texas,TX,81.250771,82.017899,83.855385,84.256706,85.53241,85.855362,86.998367,87.267387,74.796013,75.647186,79.586082,80.020348,82.190491,82.507072,83.764847,84.080238,78.42796725,81.92963025,84.02133375,85.52770975,80.32403463,84.62928588,82.47666025
32201,Huntsville,191792,48,Texas,TX,80.098244,80.772652,83.991791,84.253761,85.577438,85.9282,87.603653,87.810783,75.373947,76.073418,78.985725,79.223694,81.573067,81.981857,84.196785,84.422417,78.07956525,81.61374275,83.7651405,86.0084095,80.22886375,84.50456525,82.3667145
32202,Nacogdoches,103842,48,Texas,TX,80.780396,81.407448,84.129677,84.562744,84.963196,85.433075,87.77034,87.979813,75.978348,76.598457,80.212357,80.643326,82.223969,82.675209,83.424698,83.780815,78.69116225,82.387026,83.82386225,85.7389165,80.69214738,84.62833613,82.66024175
32301,San Angelo,113973,48,Texas,TX,81.431702,80.129166,83.704391,83.079643,87.052368,87.071289,88.559959,88.584709,77.2099,75.904572,80.757652,80.163361,82.13932,82.285576,84.522926,84.596245,78.668835,81.92626175,84.63713825,86.56595975,80.947444,84.95165338,82.94954869
32304,Uvalde,35212,48,Texas,TX,84.153671,81.706032,87.103615,85.820595,86.964668,86.443321,86.329491,85.782982,80.128304,77.58992,82.754723,81.296066,81.263824,80.717346,79.708229,79.287666,80.89448175,84.24374975,83.84728975,82.777092,80.34325975,85.53804688,82.94065331
32305,Del Rio,49316,48,Texas,TX,84.035782,80.519173,85.818672,83.248177,85.174591,83.207993,87.876671,86.579521,79.731735,76.204796,81.664375,79.207085,83.437286,81.769096,83.950775,82.759247,80.1228715,82.48457725,83.3972415,85.2915535,81.09054938,84.5575725,82.82406094
32306,Eagle Pass,47297,48,Texas,TX,85.317467,81.294479,88.012405,84.685051,89.807709,87.608025,89.706528,87.264122,79.423531,75.315598,82.66098,78.636055,83.351868,80.347275,81.083527,78.445305,80.33776875,83.49862275,85.27871925,84.1248705,79.90801738,86.71197325,83.30999531
32401,Big Spring,54073,48,Texas,TX,81.079376,79.827049,81.058899,80.349419,83.81958,83.615837,86.941658,86.924316,74.87883,73.616447,77.886261,77.128723,80.009979,79.804199,83.398857,83.343628,77.3504255,79.1058255,81.81239875,85.15211475,78.7583655,82.95201675,80.85519113
